-	ENSFCAG00000048344	ENSFCAT00000085390	ENSFCAT00000085390.1
-	ENSFCAG00000053657	ENSFCAT00000069786	ENSFCAT00000069786.1
B3GALT6	ENSFCAG00000045789	ENSFCAT00000053873	ENSFCAT00000053873.1
-	ENSFCAG00000043244	ENSFCAT00000066928	ENSFCAT00000066928.2
-	ENSFCAG00000051169	ENSFCAT00000081288	ENSFCAT00000081288.1
CYYR1	ENSFCAG00000011117	ENSFCAT00000011121	ENSFCAT00000011121.6
-	ENSFCAG00000043316	ENSFCAT00000054244	ENSFCAT00000054244.2
ATP13A3	ENSFCAG00000009317	ENSFCAT00000040302	ENSFCAT00000040302.3
-	ENSFCAG00000053033	ENSFCAT00000084519	ENSFCAT00000084519.1
-	ENSFCAG00000043249	ENSFCAT00000063748	ENSFCAT00000063748.2
-	ENSFCAG00000048543	ENSFCAT00000077058	ENSFCAT00000077058.1
CLIC6	ENSFCAG00000006760	ENSFCAT00000006762	ENSFCAT00000006762.5
SWI5	ENSFCAG00000005838	ENSFCAT00000033073	ENSFCAT00000033073.3
GIP	ENSFCAG00000008946	ENSFCAT00000008947	ENSFCAT00000008947.5
-	ENSFCAG00000046808	ENSFCAT00000070810	ENSFCAT00000070810.1
NCOA4	ENSFCAG00000027549	ENSFCAT00000043552	ENSFCAT00000043552.3
-	ENSFCAG00000048276	ENSFCAT00000077480	ENSFCAT00000077480.1
CCDC183	ENSFCAG00000018649	ENSFCAT00000018782	ENSFCAT00000018782.4
ZWINT	ENSFCAG00000029281	ENSFCAT00000079300	ENSFCAT00000079300.1
MACROH2A2	ENSFCAG00000001225	ENSFCAT00000065115	ENSFCAT00000065115.2
-	ENSFCAG00000032130	ENSFCAT00000032806	ENSFCAT00000032806.3
DCLRE1A	ENSFCAG00000011833	ENSFCAT00000011836	ENSFCAT00000011836.6
NEK8	ENSFCAG00000004023	ENSFCAT00000030115	ENSFCAT00000030115.3
-	ENSFCAG00000030445	ENSFCAT00000026033	ENSFCAT00000026033.4
STOML2	ENSFCAG00000001123	ENSFCAT00000073962	ENSFCAT00000073962.1
KCND2	ENSFCAG00000007877	ENSFCAT00000007877	ENSFCAT00000007877.4
TEX10	ENSFCAG00000015634	ENSFCAT00000041975	ENSFCAT00000041975.3
HES2	ENSFCAG00000040264	ENSFCAT00000051277	ENSFCAT00000051277.2
ZNF683	ENSFCAG00000012809	ENSFCAT00000012813	ENSFCAT00000012813.5
U2	ENSFCAG00000051850	ENSFCAT00000083746	ENSFCAT00000083746.1
RND2	ENSFCAG00000023276	ENSFCAT00000044076	ENSFCAT00000044076.3
ZMIZ1	ENSFCAG00000011569	ENSFCAT00000011574	ENSFCAT00000011574.6
CDK3	ENSFCAG00000005766	ENSFCAT00000005768	ENSFCAT00000005768.5
DMBX1	ENSFCAG00000011876	ENSFCAT00000011879	ENSFCAT00000011879.6
ENO3	ENSFCAG00000001731	ENSFCAT00000035559	ENSFCAT00000035559.3
PLXNA4	ENSFCAG00000013120	ENSFCAT00000085337	ENSFCAT00000085337.1
F3	ENSFCAG00000012767	ENSFCAT00000012770	ENSFCAT00000012770.5
-	ENSFCAG00000053162	ENSFCAT00000080828	ENSFCAT00000080828.1
-	ENSFCAG00000049705	ENSFCAT00000075054	ENSFCAT00000075054.1
-	ENSFCAG00000047075	ENSFCAT00000075458	ENSFCAT00000075458.1
-	ENSFCAG00000047188	ENSFCAT00000071579	ENSFCAT00000071579.1
-	ENSFCAG00000051847	ENSFCAT00000072250	ENSFCAT00000072250.1
-	ENSFCAG00000047682	ENSFCAT00000072285	ENSFCAT00000072285.1
ABCG1	ENSFCAG00000012701	ENSFCAT00000012704	ENSFCAT00000012704.6
-	ENSFCAG00000046140	ENSFCAT00000057800	ENSFCAT00000057800.2
SPIN1	ENSFCAG00000032225	ENSFCAT00000060593	ENSFCAT00000060593.2
U3	ENSFCAG00000044949	ENSFCAT00000065092	ENSFCAT00000065092.1
SNF8	ENSFCAG00000008944	ENSFCAT00000078608	ENSFCAT00000078608.1
RCAN1	ENSFCAG00000041249	ENSFCAT00000072414	ENSFCAT00000072414.1
-	ENSFCAG00000042986	ENSFCAT00000050968	ENSFCAT00000050968.2
MSI2	ENSFCAG00000041686	ENSFCAT00000066315	ENSFCAT00000066315.2
NPTX1	ENSFCAG00000046243	ENSFCAT00000064469	ENSFCAT00000064469.2
-	ENSFCAG00000040865	ENSFCAT00000061902	ENSFCAT00000061902.2
-	ENSFCAG00000048362	ENSFCAT00000076680	ENSFCAT00000076680.1
-	ENSFCAG00000051656	ENSFCAT00000068176	ENSFCAT00000068176.1
WDR18	ENSFCAG00000007313	ENSFCAT00000032969	ENSFCAT00000032969.3
-	ENSFCAG00000050465	ENSFCAT00000067905	ENSFCAT00000067905.1
-	ENSFCAG00000051153	ENSFCAT00000072063	ENSFCAT00000072063.1
-	ENSFCAG00000050862	ENSFCAT00000080083	ENSFCAT00000080083.1
-	ENSFCAG00000051296	ENSFCAT00000077002	ENSFCAT00000077002.1
C1QTNF12	ENSFCAG00000003367	ENSFCAT00000003367	ENSFCAT00000003367.5
-	ENSFCAG00000049150	ENSFCAT00000076634	ENSFCAT00000076634.1
-	ENSFCAG00000051993	ENSFCAT00000078360	ENSFCAT00000078360.1
-	ENSFCAG00000049532	ENSFCAT00000083258	ENSFCAT00000083258.1
U6	ENSFCAG00000034911	ENSFCAT00000035154	ENSFCAT00000035154.2
SFRP4	ENSFCAG00000025247	ENSFCAT00000028187	ENSFCAT00000028187.4
MSANTD3-TMEFF1	ENSFCAG00000046794	ENSFCAT00000051919	ENSFCAT00000051919.2
CERS1	ENSFCAG00000023920	ENSFCAT00000024254	ENSFCAT00000024254.4
PPIF	ENSFCAG00000025543	ENSFCAT00000028621	ENSFCAT00000028621.4
WLS	ENSFCAG00000012564	ENSFCAT00000012567	ENSFCAT00000012567.6
PGM5	ENSFCAG00000008050	ENSFCAT00000038777	ENSFCAT00000038777.3
STAG1	ENSFCAG00000023047	ENSFCAT00000070751	ENSFCAT00000070751.1
-	ENSFCAG00000051686	ENSFCAT00000067407	ENSFCAT00000067407.1
-	ENSFCAG00000052481	ENSFCAT00000074991	ENSFCAT00000074991.1
GRM7	ENSFCAG00000029003	ENSFCAT00000060363	ENSFCAT00000060363.2
PIN1	ENSFCAG00000009380	ENSFCAT00000009382	ENSFCAT00000009382.5
AIFM2	ENSFCAG00000001226	ENSFCAT00000071674	ENSFCAT00000071674.1
-	ENSFCAG00000047534	ENSFCAT00000084024	ENSFCAT00000084024.1
LIN28A	ENSFCAG00000012810	ENSFCAT00000080022	ENSFCAT00000080022.1
U6	ENSFCAG00000040279	ENSFCAT00000050499	ENSFCAT00000050499.1
TMEM275	ENSFCAG00000045074	ENSFCAT00000057560	ENSFCAT00000057560.1
U6	ENSFCAG00000043464	ENSFCAT00000058820	ENSFCAT00000058820.1
-	ENSFCAG00000048418	ENSFCAT00000084155	ENSFCAT00000084155.1
-	ENSFCAG00000044808	ENSFCAT00000063743	ENSFCAT00000063743.2
-	ENSFCAG00000046767	ENSFCAT00000062339	ENSFCAT00000062339.1
-	ENSFCAG00000026329	ENSFCAT00000036168	ENSFCAT00000036168.2
SHISA5	ENSFCAG00000036749	ENSFCAT00000048147	ENSFCAT00000048147.3
KNCN	ENSFCAG00000040114	ENSFCAT00000037906	ENSFCAT00000037906.3
TRUB2	ENSFCAG00000005839	ENSFCAT00000005841	ENSFCAT00000005841.6
-	ENSFCAG00000049631	ENSFCAT00000079454	ENSFCAT00000079454.1
SLC44A3	ENSFCAG00000015094	ENSFCAT00000057017	ENSFCAT00000057017.2
MYRIP	ENSFCAG00000001785	ENSFCAT00000082101	ENSFCAT00000082101.1
TSPAN12	ENSFCAG00000023943	ENSFCAT00000029615	ENSFCAT00000029615.4
PCDH15	ENSFCAG00000028379	ENSFCAT00000057872	ENSFCAT00000057872.2
U6	ENSFCAG00000039938	ENSFCAT00000034188	ENSFCAT00000034188.2
PSTK	ENSFCAG00000027434	ENSFCAT00000021924	ENSFCAT00000021924.4
NME8	ENSFCAG00000012691	ENSFCAT00000012693	ENSFCAT00000012693.6
UBE2Z	ENSFCAG00000045462	ENSFCAT00000051533	ENSFCAT00000051533.2
S1PR3	ENSFCAG00000004210	ENSFCAT00000004211	ENSFCAT00000004211.5
NHLRC2	ENSFCAG00000025762	ENSFCAT00000028984	ENSFCAT00000028984.4
-	ENSFCAG00000033951	ENSFCAT00000036585	ENSFCAT00000036585.3
-	ENSFCAG00000050108	ENSFCAT00000075307	ENSFCAT00000075307.1
COQ4	ENSFCAG00000005840	ENSFCAT00000005842	ENSFCAT00000005842.5
PNMA6A	ENSFCAG00000036863	ENSFCAT00000035405	ENSFCAT00000035405.3
-	ENSFCAG00000041659	ENSFCAT00000065089	ENSFCAT00000065089.2
-	ENSFCAG00000048703	ENSFCAT00000074816	ENSFCAT00000074816.1
ESPN	ENSFCAG00000031339	ENSFCAT00000033913	ENSFCAT00000033913.3
-	ENSFCAG00000051817	ENSFCAT00000069706	ENSFCAT00000069706.1
-	ENSFCAG00000044564	ENSFCAT00000060967	ENSFCAT00000060967.2
-	ENSFCAG00000050418	ENSFCAT00000073262	ENSFCAT00000073262.1
-	ENSFCAG00000051906	ENSFCAT00000079677	ENSFCAT00000079677.1
-	ENSFCAG00000048672	ENSFCAT00000075858	ENSFCAT00000075858.1
BRCA1	ENSFCAG00000013146	ENSFCAT00000013150	ENSFCAT00000013150.6
-	ENSFCAG00000045562	ENSFCAT00000059884	ENSFCAT00000059884.2
-	ENSFCAG00000043335	ENSFCAT00000057673	ENSFCAT00000057673.1
-	ENSFCAG00000044664	ENSFCAT00000058407	ENSFCAT00000058407.2
ZCCHC24	ENSFCAG00000040394	ENSFCAT00000065160	ENSFCAT00000065160.2
APP	ENSFCAG00000001556	ENSFCAT00000001556	ENSFCAT00000001556.6
EVPL	ENSFCAG00000029136	ENSFCAT00000042015	ENSFCAT00000042015.3
IKZF5	ENSFCAG00000041709	ENSFCAT00000009590	ENSFCAT00000009590.6
-	ENSFCAG00000038743	ENSFCAT00000063303	ENSFCAT00000063303.2
UBE2J2	ENSFCAG00000043550	ENSFCAT00000053957	ENSFCAT00000053957.2
PRMT2	ENSFCAG00000014823	ENSFCAT00000014827	ENSFCAT00000014827.5
PHPT1	ENSFCAG00000022658	ENSFCAT00000025758	ENSFCAT00000025758.4
-	ENSFCAG00000041273	ENSFCAT00000061887	ENSFCAT00000061887.1
PFN1	ENSFCAG00000011175	ENSFCAT00000011177	ENSFCAT00000011177.5
-	ENSFCAG00000040560	ENSFCAT00000074453	ENSFCAT00000074453.1
-	ENSFCAG00000005706	ENSFCAT00000005710	ENSFCAT00000005710.5
ACADSB	ENSFCAG00000003421	ENSFCAT00000003421	ENSFCAT00000003421.6
RPTOR	ENSFCAG00000011453	ENSFCAT00000056536	ENSFCAT00000056536.2
-	ENSFCAG00000040717	ENSFCAT00000001814	ENSFCAT00000001814.5
ANXA11	ENSFCAG00000023518	ENSFCAT00000074745	ENSFCAT00000074745.1
-	ENSFCAG00000002344	ENSFCAT00000073160	ENSFCAT00000073160.1
KLHL7	ENSFCAG00000005805	ENSFCAT00000005808	ENSFCAT00000005808.5
SHC3	ENSFCAG00000004212	ENSFCAT00000004213	ENSFCAT00000004213.6
